,rpm,amostra_ajustada,tempo
0,576.92,253.28219503276708,0.0
1,862.07,292.2747557350691,0.001002161524857536
2,443.79,332.0038243933002,0.002004323049715072
3,862.07,373.2099291010389,0.003006484574572608
4,872.09,416.45851280933556,0.004008646099430144
5,882.35,462.0602955617966,0.00501080762428768
6,1271.19,510.1374687872986,0.006012969149145216
7,1196.81,560.7409669574406,0.0070151306740027525
8,1159.79,613.9572155402142,0.008017292198860288
9,1587.3,669.8016943242087,0.009019453723717824
10,1562.5,728.1314381667917,0.01002161524857536
11,1562.5,788.7304765653721,0.011023776773432897
12,1913.27,851.264441585084,0.012025938298290432
13,1963.35,915.1859807056263,0.013028099823147968
14,2261.31,979.8513941993214,0.014030261348005505
15,2295.92,1044.7252305551378,0.01503242287286304
16,2625.0,1109.5412138853994,0.016034584397720576
17,2319.59,1174.3600224808279,0.017036745922578114
18,2638.19,1239.3514101547519,0.018038907447435647
19,2985.07,1304.4696511351478,0.019041068972293185
20,3000.0,1369.4977847000284,0.02004323049715072
21,3030.3,1434.298633725653,0.021045392022008256
22,3325.12,1498.798675011744,0.022047553546865793
23,3308.82,1562.8411867213576,0.023049715071723327
24,3640.78,1626.1640270906007,0.024051876596580864
25,3640.78,1688.4597415891851,0.0250540381214384
26,4004.85,1749.4851740280988,0.026056199646295936
27,3909.95,1809.2063019987404,0.027058361171153473
28,3928.57,1867.805630723416,0.02806052269601101
29,4225.35,1925.4429931849918,0.029062684220868544
30,4225.35,1982.0350072614935,0.03006484574572608
31,4556.07,2037.2782410615112,0.031067007270583615
32,4599.06,2090.822542040667,0.03206916879544115
33,4577.46,2142.4177757828706,0.033071330320298686
34,4838.71,2191.882365208603,0.03407349184515623
35,4838.71,2238.9937890940687,0.03507565337001376
36,5044.84,2283.490697817955,0.036077814894871295
37,5184.33,2325.1730358288905,0.037079976419728836
38,5113.64,2364.0275555512108,0.03808213794458637
39,5160.55,2400.219385912803,0.0390842994694439
40,5405.41,2433.9228891724615,0.04008646099430144
41,5405.41,2465.278759654425,0.04108862251915898
42,5405.41,2494.5113660716515,0.04209078404401651
43,5405.41,2521.907948709295,0.043092945568874046
44,5641.59,2547.661683574086,0.044095107093731586
45,5479.45,2571.820611096701,0.04509726861858912
46,5691.96,2594.311027603177,0.046099430143446654
47,5769.23,2614.9539469314195,0.047101591668304195
48,5691.96,2633.5551745766393,0.04810375319316173
49,5743.24,2649.956177921274,0.04910591471801926
50,5921.05,2663.9747990873666,0.0501080762428768
51,5795.45,2675.43181516404,0.05111023776773434
52,5895.2,2684.2390859711763,0.05211239929259187
53,5947.14,2690.417264967,0.05311456081744941
54,5947.14,2694.145911877268,0.054116722342306946
55,5641.59,2695.7809836227725,0.05511888386716448
56,6000.0,2695.6551810829346,0.05612104539202202
57,5743.24,2693.885585727064,0.057123206916879554
58,6000.0,2690.4198730010253,0.05812536844173709
59,5821.92,2685.1801968094883,0.05912752996659462
60,5947.14,2678.180554340449,0.06012969149145216
61,5795.45,2669.5941362789604,0.0611318530163097
62,5717.49,2659.7107730184616,0.06213401454116723
63,5795.45,2648.7851648553187,0.06313617606602477
64,5769.23,2636.9437489187585,0.0641383375908823
65,5717.49,2624.2500743826513,0.06514049911573984
66,5717.49,2610.7860476556707,0.06614266064059737
67,5795.45,2596.704477580762,0.0671448221654549
68,5381.17,2582.2670455640996,0.06814698369031245
69,5641.59,2567.702008026283,0.06914914521516999
70,5529.95,2552.9898053910824,0.07015130674002752
71,5717.49,2537.930261146169,0.07115346826488506
72,5454.55,2522.4198319894385,0.07215562978974259
73,5429.86,2506.564072139257,0.07315779131460012
74,5381.17,2490.519976861023,0.07415995283945767
75,5381.17,2474.306794348642,0.0751621143643152
76,5405.41,2457.785891630809,0.07616427588917274
77,5405.41,2440.7892869515013,0.07716643741403027
78,5160.55,2423.2440414009016,0.0781685989388878
79,5479.45,2405.181202836026,0.07917076046374534
80,5067.57,2386.744668376345,0.08017292198860287
81,5113.64,2368.1798148483863,0.08117508351346042
82,5113.64,2349.6556702638823,0.08217724503831796
83,5090.5,2331.14090946955,0.08317940656317549
84,5000.0,2312.4720373232785,0.08418156808803302
85,5257.01,2293.483509281243,0.08518372961289056
86,4729.73,2274.1575607682184,0.08618589113774809
87,5136.99,2254.6582896622276,0.08718805266260564
88,4751.13,2235.2419629659344,0.08819021418746317
89,4772.73,2216.1837567017838,0.0891923757123207
90,4794.52,2197.6531754767793,0.09019453723717824
91,4772.73,2179.6336719836563,0.09119669876203577
92,4816.51,2162.0480540618364,0.09219886028689331
93,4493.09,2144.8911085680434,0.09320102181175086
94,4906.54,2128.20973249918,0.09420318333660839
95,4472.48,2112.1117718977325,0.09520534486146592
96,4534.88,2096.805629068273,0.09620750638632346
97,4513.89,2082.4598761706507,0.09720966791118099
98,4556.07,2069.0710127004195,0.09821182943603853
99,4534.88,2056.5608881404955,0.09921399096089606
100,4513.89,2044.9480700566426,0.1002161524857536
101,4225.35,2034.3721957002538,0.10121831401061114
102,4534.88,2024.9180879430683,0.10222047553546867
103,4620.85,2016.5740793097068,0.10322263706032621
104,4205.61,2009.5032218107644,0.10422479858518374
105,4225.35,2004.0757476106837,0.10522696011004128
106,4556.07,2000.5266439200186,0.10622912163489882
107,4245.28,1998.8809712176146,0.10723128315975636
108,4245.28,1999.1061529752594,0.10823344468461389
109,4534.88,2001.0616766024857,0.10923560620947143
110,4265.4,2004.4907550737641,0.11023776773432896
111,4493.09,2009.1681367809583,0.11123992925918649
112,4556.07,2015.0152543491192,0.11224209078404404
