rpm,amostra_ajustada,tempo
0.0,-19.58783747464667,36.2866326337682
0.0,-19.365635057944953,36.288145207033466
0.0,-19.142634703003587,36.28965778029873
0.0,-18.918835019251453,36.291170353564
0.0,-18.69423461566973,36.292682926829265
0.0,-18.46883210079713,36.29419550009454
0.0,-18.24262608273516,36.295708073359805
0.0,-18.01561516915338,36.29722064662507
0.0,-17.787797967294715,36.29873321989034
0.0,-17.55917308398074,36.300245793155604
0.0,-17.329739125617017,36.30175836642087
0.0,-17.09949469819846,36.30327093968614
0.0,-16.868438407314674,36.30478351295141
0.0,-16.63656885815535,36.306296086216676
0.0,-16.40388465551567,36.30780865948194
0.0,-16.17038440380173,36.30932123274721
0.0,-15.936066707035986,36.310833806012475
0.0,-15.700930168862717,36.31234637927775
0.0,-15.464973392553485,36.313858952543015
0.0,-15.228194981012658,36.31537152580828
0.0,-14.990593536782919,36.31688409907355
0.0,-14.752167662050798,36.318396672338814
0.0,-14.512915958652243,36.31990924560408
0.0,-14.272837028078184,36.321421818869354
0.0,-14.031929471480137,36.32293439213462
0.0,-13.79019188967581,36.324446965399886
0.0,-13.54762288315475,36.32595953866515
0.0,-13.304221052083982,36.32747211193042
0.0,-13.059984996313691,36.328984685195685
0.0,-12.814913315382913,36.33049725846096
0.0,-12.569004608525251,36.332009831726225
0.0,-12.322257474674599,36.33352240499149
0.0,-12.074670512470902,36.33503497825676
0.0,-11.826242320265916,36.336547551522024
0.0,-11.576971496129014,36.33806012478729
0.0,-11.326856637852977,36.339572698052564
0.0,-11.07589634295984,36.34108527131783
0.0,-10.824089208706734,36.342597844583096
0.0,-10.57143383209176,36.34411041784836
0.0,-10.317928809859874,36.34562299111363
0.0,-10.063572738508794,36.347135564378895
0.0,-9.80836421429494,36.34864813764417
0.0,-9.552301833239367,36.350160710909435
0.0,-9.295384191133746,36.3516732841747
0.0,-9.037609883546347,36.35318585743997
0.0,-8.778977505828058,36.354698430705234
0.0,-8.519485653118398,36.35621100397051
0.0,-8.259132920351576,36.357723577235774
0.0,-7.997917902262556,36.35923615050104
0.0,-7.735839193393155,36.36074872376631
0.0,-7.472895388098137,36.36226129703157
0.0,-7.209085080551351,36.36377387029684
0.0,-6.944406864751887,36.36528644356211
0.0,-6.678859334530232,36.36679901682738
0.0,-6.412441083554472,36.368311590092645
0.0,-6.145150705336498,36.36982416335791
0.0,-5.876986793238234,36.37133673662318
0.0,-5.607947940477894,36.372849309888444
0.0,-5.338032740136253,36.37436188315372
0.0,-5.067239785162934,36.375874456418984
0.0,-4.795567668382726,36.37738702968425
0.0,-4.523014982501919,36.37889960294952
0.0,-4.249580320114651,36.38041217621478
0.0,-3.9752622737092884,36.38192474948005
0.0,-3.7000594356748167,36.38343732274532
0.0,-3.42397039830726,36.38494989601059
0.0,-3.1469937538161155,36.386462469275855
0.0,-2.8691280943308106,36.38797504254112
0.0,-2.590372011907183,36.38948761580639
0.0,-2.3107240985339765,36.391000189071654
0.0,-2.0301829461393632,36.39251276233693
0.0,-1.7487471465974802,36.394025335602194
0.0,-1.4664152917349955,36.39553790886746
0.0,-1.1831859733376866,36.39705048213273
0.0,-0.8990577831570451,36.39856305539799
0.0,-0.6140293129169013,36.40007562866326
0.0,-0.32809915432006864,36.40158820192853
0.0,-0.0412658990550102,36.4031007751938
0.0,0.24647186119747388,36.404613348459065
0.0,0.5351155347575381,36.40612592172433
0.0,0.8246665299395619,36.4076384949896
0.0,1.1151262550453989,36.409151068254864
0.0,1.4064961183576046,36.41066364152014
0.0,1.6987775281326434,36.412176214785404
0.0,1.9919718925940737,36.41368878805067
0.0,2.2860806199257127,36.41520136131594
0.0,2.581105118264779,36.4167139345812
0.0,2.877046795695013,36.41822650784647
0.0,3.1739070602397783,36.41973908111174
0.0,3.4716873198551395,36.42125165437701
0.0,3.7703889824229178,36.422764227642276
0.0,4.070013455743729,36.42427680090754
0.0,4.370562147529997,36.42578937417281
0.0,4.672036465398946,36.42730194743808
0.0,4.97443781686557,36.42881452070335
0.0,5.27776760933558,36.430327093968614
0.0,5.582027250098339,36.43183966723388
0.0,5.887218146319761,36.43335224049915
0.0,6.193341705035193,36.43486481376441
0.0,6.500399333142289,36.43637738702969
0.0,6.808392437393836,36.43788996029495
0.0,7.117322424390583,36.43940253356022
0.0,7.4271907005740285,36.440915106825486
0.0,7.737998672219207,36.44242768009075
0.0,8.049747745427426,36.44394025335602
0.0,8.362439326119016,36.44545282662129
0.0,8.676074820026024,36.44696539988656
0.0,8.990655632684902,36.448477973151824
0.0,9.306183169429188,36.44999054641709
0.0,9.622658835382127,36.45150311968236
0.0,9.9400840354493,36.45301569294762
