Unnamed: 0.1,Unnamed: 0,tensao,tempo
0,0,103.74,0.0
1,1,107.51,0.0006858710562414266
2,2,111.24,0.0013717421124828531
3,3,114.92,0.0020576131687242796
4,4,118.59,0.0027434842249657062
5,5,122.23,0.003429355281207133
6,6,125.89,0.004115226337448559
7,7,129.49,0.004801097393689986
8,8,133.04,0.0054869684499314125
9,9,136.56,0.006172839506172839
10,10,140.06,0.006858710562414266
11,11,143.46,0.0075445816186556925
12,12,146.87,0.008230452674897118
13,13,150.19,0.008916323731138546
14,14,153.43,0.009602194787379972
15,15,156.73,0.0102880658436214
16,16,159.87,0.010973936899862825
17,17,162.95,0.01165980795610425
18,18,165.96,0.012345679012345678
19,19,168.82,0.013031550068587104
20,20,171.63,0.013717421124828532
21,21,174.38,0.014403292181069957
22,22,176.94,0.015089163237311385
23,23,179.48,0.01577503429355281
24,24,181.81,0.016460905349794237
25,25,184.08,0.017146776406035662
26,26,186.16,0.01783264746227709
27,27,188.18,0.018518518518518517
28,28,190.06,0.019204389574759943
29,29,191.74,0.01989026063100137
30,30,193.29,0.0205761316872428
31,31,194.71,0.021262002743484224
32,32,195.97,0.02194787379972565
33,33,197.04,0.022633744855967076
34,34,197.97,0.0233196159122085
35,35,198.72,0.02400548696844993
36,36,199.31,0.024691358024691357
37,37,199.72,0.025377229080932782
38,38,199.95,0.026063100137174208
39,39,199.99,0.026748971193415638
40,40,199.85,0.027434842249657063
41,41,199.52,0.02812071330589849
42,42,198.98,0.028806584362139915
43,43,198.26,0.02949245541838134
44,44,197.36,0.03017832647462277
45,45,196.24,0.030864197530864196
46,46,194.93,0.03155006858710562
47,47,193.43,0.03223593964334705
48,48,191.75,0.03292181069958847
49,49,189.85,0.0336076817558299
50,50,187.74,0.034293552812071325
51,51,185.51,0.03497942386831276
52,52,183.03,0.03566529492455418
53,53,180.43,0.03635116598079561
54,54,177.59,0.037037037037037035
55,55,174.69,0.03772290809327846
56,56,171.54,0.03840877914951989
57,57,168.18,0.03909465020576131
58,58,164.78,0.03978052126200274
59,59,161.21,0.040466392318244164
60,60,157.43,0.0411522633744856
61,61,153.56,0.04183813443072702
62,62,149.58,0.04252400548696845
63,63,145.47,0.043209876543209874
64,64,141.32,0.0438957475994513
65,65,137.07,0.044581618655692726
66,66,132.71,0.04526748971193415
67,67,128.31,0.04595336076817558
68,68,123.72,0.046639231824417
69,69,119.18,0.047325102880658436
70,70,114.53,0.04801097393689986
71,71,109.86,0.04869684499314129
72,72,105.18,0.04938271604938271
73,73,100.48,0.05006858710562414
74,74,95.68,0.050754458161865565
75,75,91.34,0.05144032921810699
76,76,87.12,0.052126200274348417
77,77,82.92,0.05281207133058984
78,78,78.8,0.053497942386831275
79,79,74.84,0.0541838134430727
80,80,70.87,0.05486968449931413
81,81,67.0,0.05555555555555555
82,82,63.23,0.05624142661179698
83,83,59.48,0.056927297668038404
84,84,55.79,0.05761316872427983
85,85,52.22,0.058299039780521256
86,86,48.64,0.05898491083676268
87,87,45.23,0.059670781893004114
88,88,41.83,0.06035665294924554
89,89,38.57,0.061042524005486966
90,90,35.43,0.06172839506172839
91,91,32.34,0.06241426611796982
92,92,29.4,0.06310013717421124
93,93,26.59,0.06378600823045268
94,94,23.89,0.0644718792866941
95,95,21.34,0.06515775034293553
96,96,18.89,0.06584362139917695
97,97,16.59,0.06652949245541838
98,98,14.43,0.0672153635116598
99,99,12.37,0.06790123456790123
100,100,10.46,0.06858710562414265
101,101,8.75,0.06927297668038408
102,102,7.3,0.06995884773662552
103,103,6.03,0.07064471879286693
104,104,4.87,0.07133058984910837
105,105,3.84,0.07201646090534979
106,106,2.91,0.07270233196159122
107,107,2.12,0.07338820301783264
108,108,1.46,0.07407407407407407
109,109,0.92,0.07475994513031549
110,110,0.5,0.07544581618655692
111,111,0.22,0.07613168724279835
112,112,0.05,0.07681755829903977
113,113,0.0,0.0775034293552812
114,114,0.08,0.07818930041152262
115,115,0.28,0.07887517146776406
116,116,0.61,0.07956104252400548
