rpm,amostra_ajustada,tempo
5405.41,2583.483736682497,1.658577323639222
5691.96,2612.156181973,1.6595794851640797
5921.05,2640.899457284601,1.6605816466889372
5795.45,2669.483765940788,1.6615838082137948
5895.2,2697.848776474815,1.6625859697386522
5947.14,2726.075793037686,1.6635881312635097
6000.0,2754.2707848292234,1.6645902927883673
6081.08,2782.5327747734887,1.6655924543132248
6026.79,2810.9275258640255,1.6665946158380824
6195.65,2839.4050494982175,1.6675967773629399
6250.0,2867.739324588025,1.6685989388877975
6277.53,2895.566296775463,1.669601100412655
6493.51,2922.467636169341,1.6706032619375126
6578.95,2948.1254335769827,1.67160542346237
6382.98,2972.516068974545,1.6726075849872275
6437.77,2995.846717955148,1.6736097465120852
6818.18,3018.3035483801023,1.6746119080369426
6382.98,3040.02261904562,1.6756140695618003
6759.66,3061.1346171436603,1.6766162310866577
6730.77,3081.6733659711003,1.6776183926115154
6702.13,3101.5809841765213,1.6786205541363728
6932.77,3120.793863145552,1.6796227156612304
6702.13,3139.2678459808094,1.6806248771860879
6903.77,3156.9348575279605,1.6816270387109455
6991.53,3173.6339216397823,1.682629200235803
6962.03,3189.17616867885,1.6836313617606604
7021.28,3203.47860245684,1.684633523285518
6962.03,3216.5676493510805,1.6856356848103755
7051.28,3228.486276071912,1.6866378463352332
6962.03,3239.19658476661,1.6876400078600906
7340.43,3248.5693622235244,1.6886421693849483
6903.77,3256.5188501067505,1.6896443309098057
7340.43,3263.108521872461,1.6906464924346634
6875.0,3268.495446946002,1.6916486539595208
7371.79,3272.8305613406123,1.6926508154843782
6903.77,3276.214235861836,1.693652977009236
7217.57,3278.651400518318,1.6946551385340933
6991.53,3279.9433275389133,1.695657300058951
7187.5,3279.6062632020107,1.6966594615838084
7128.1,3276.905660603937,1.697661623108666
7187.5,3270.9806566246525,1.6986637846335235
7187.5,3261.00212736844,1.6996659461583812
7021.28,3246.279297165036,1.7006681076832386
7021.28,3226.2233388687746,1.701670269208096
7309.32,3200.3111585661522,1.7026724307329537
6932.77,3168.3217533176153,1.7036745922578111
7081.54,3130.6570304980182,1.7046767537826688
