,amostras
388,7117.790775649641
389,7100.275553929129
390,7079.892173018809
391,7056.212099772277
392,7029.073620755574
393,6998.609221033513
394,6965.108545706375
395,6929.168493577204
396,6891.483377914223
397,6852.266222977668
398,6811.2910681864405
399,6768.3961531563
400,6723.5498046689
401,6676.715949151495
402,6627.882796595705
403,6577.087465501935
404,6524.6098665372365
405,6471.156556932204
406,6417.4970133038405
407,6363.973552312606
408,6310.531381795084
409,6257.021276781905
410,6203.332828447169
411,6149.391749270477
412,6095.308046214786
413,6041.6603038203075
414,5989.301299988868
415,5938.782035257133
416,5890.372886281579
417,5844.32644242619
418,5800.667962138536
419,5759.107944878001
420,5719.308518727431
421,5680.983121998142
422,5643.740049281365
423,5607.023769425136
424,5570.349234391743
425,5533.588328039973
426,5497.03538892098
427,5461.395298912468
428,5427.62419589213
429,5396.377992538036
430,5367.6540584004315
431,5341.104867956444
432,5316.431947533175
433,5293.330623799458
434,5271.509465439225
435,5251.141930691631
436,5233.000674312417
437,5218.16049576673
438,5207.705037127044
439,5202.301408392554
440,5202.000841234895
441,5206.520406834005
442,5215.473959586563
443,5228.5182642692
444,5245.408256272151
445,5265.748925427643
446,5288.9612552899125
447,5314.555125913685
448,5342.359296096145
449,5372.680788792287
450,5405.9481999738255
451,5442.097475914593
452,5480.73946531845
453,5521.833102112883
454,5565.694339943762
455,5612.356325229971
456,5661.408724418293
457,5712.439075457365
458,5765.231204401787
459,5819.5147144991215
460,5874.850156035224
461,5931.08969648195
462,5988.637196478742
463,6047.939602874995
464,6109.049631812462
465,6171.609643759987
466,6234.9928178528135
467,6298.552592524261
468,6361.823648243864
469,6424.623867545567
470,6486.896067814445
471,6548.277608184842
472,6607.979035758917
473,6665.210224202095
474,6719.686021530402
475,6771.702693453755
476,6821.683961350236
477,6869.601372527861
478,6914.887618209412
479,6956.900989903034
480,6995.3296468304325
481,7030.1555871297805
482,7061.341959366973
483,7088.683530470794
484,7112.059406377438
485,7131.573471421177
486,7147.413299250352
487,7159.894027160045
488,7169.3350374810625
489,7175.792799563982
490,7179.237042918132
491,7179.55582481389
492,7176.243748748457
493,7168.628556312368
494,7156.410756031227
495,7139.789986238994
496,7119.3412411744275
497,7095.981038016936
498,7070.71519161636
499,7044.14818775578
500,7016.370251339193
501,6987.249159255114
502,6956.728816674436
503,6924.938776418298
504,6892.043033592313
505,6858.158256074471
506,6823.393498199134
507,6787.623034501857
508,6750.451690055045
509,6711.758574431098
510,6671.88356652177
511,6631.110805130356
512,6589.386125414515
513,6546.579406370292
514,6502.684883255997
515,6457.66175690816
516,6411.373938713463
517,6363.794100473375
518,6315.011468727364
519,6265.164019759985
520,6214.5528364559605
521,6163.68362815151
522,6113.177121702146
523,6063.539679959286
524,6014.881301817191
525,5966.941091803849
526,5919.495821262529
527,5872.642564989852
528,5826.442073384527
529,5780.523038994581
530,5734.410459431015
531,5688.092681726736
532,5642.001607608998
533,5596.63481629228
534,5552.547260920738
535,5510.349928419537
536,5470.423053533157
537,5432.870867098663
538,5397.605513123875
539,5364.354902298341
540,5332.778800870673
541,5302.667920378235
542,5274.248001264592
543,5248.45310980999
544,5226.584631007542
545,5209.434344508602
546,5196.9899211570055
547,5189.09150201174
548,5185.868137374017
549,5187.3540753854795
550,5193.23781470999
551,5203.122583891578
552,5216.783083414347
553,5234.193525587411
554,5255.320576709379
555,5280.025595377415
556,5308.162844407869
557,5339.700443082926
558,5374.867169082183
559,5413.852550797494
560,5456.271211486578
561,5501.33386336796
562,5548.43518165087
563,5597.2864948012875
564,5647.70943104822
565,5699.638173571651
566,5753.137144697092
567,5808.139357892908
568,5864.345123435402
569,5921.44521874767
570,5979.263968837688
571,6037.887895112685
572,6097.640765822523
573,6158.535023299889
574,6220.012141993982
575,6281.394437922005
576,6342.167918114157
577,6401.867146136336
578,6460.077926085488
579,6516.565757732537
580,6571.24342558614
581,6624.062642127803
582,6674.840255470186
583,6723.025142417
584,6767.889515972889
585,6809.095504029317
586,6846.798748815551
587,6881.361171946719
588,6913.384137662851
589,6943.645136067871
590,6972.69658241366
591,7000.8116912268615
592,7028.145486244864
593,7054.633660609252
594,7079.8967610580785
595,7103.3824025694985
596,7124.503687406944
597,7142.682337702285
598,7157.365653977479
599,7168.042981573417
600,7174.5081365417445
601,7177.117177761018
602,7176.384933666255
603,7172.406405929783
604,7164.916700392556
605,7153.586484573774
606,7138.14667198925
607,7118.49307383177
608,7094.679657558686
609,7066.917487729517
610,7035.64320375316
611,7001.367935611239
612,6964.560297980303
613,6925.737086288202
614,6885.283393054565
615,6843.147003972943
616,6799.062024008223
617,6752.954582253487
618,6704.893753517313
619,6654.990046464375
620,6603.565248272353
621,6551.092028890457
622,6498.016370180163
623,6445.00366667126
624,6392.975218584106
625,6342.617401408194
626,6294.20854682261
627,6247.771888511013
628,6203.055233696973
629,6159.520331124107
630,6116.60280672621
631,6073.976923502985
632,6031.452579068708
633,5988.736134421649
634,5945.522187451662
635,5901.8032061625445
636,5857.7582104430985
637,5813.439338992484
638,5769.042589584808
639,5724.970805206553
640,5681.270434385314
641,5637.8823947463
642,5595.407560837534
643,5554.743862382655
644,5516.307257957016
645,5480.131000425933
646,5446.314383411909
647,5415.093835003043
648,5386.554485007631
649,5360.409912580492
650,5336.24942131836
651,5313.876647097075
652,5293.182086952741
653,5274.0146604976335
654,5256.486485115606
655,5241.081902059047
656,5228.441405170526
657,5219.273752677646
658,5214.28559272197
659,5213.924119823972
660,5218.192779641691
661,5226.900301844034
662,5239.808377803904
663,5256.30155215336
664,5275.581584988091
665,5297.436956142139
666,5322.341401191428
667,5350.929259991862
668,5383.562102755034
669,5420.146075396825
670,5460.3044082849365
671,5503.66043109664
672,5550.002122727565
673,5599.419096668611
674,5652.238665231728
675,5708.547616589232
676,5767.814528352848
677,5829.268825456492
678,5892.32922869821
679,5956.423414278659
680,6020.837835467991
681,6085.000297747661
682,6148.841903668425
683,6212.548754388495
684,6276.004867022779
685,6338.917486787205
686,6401.06017572203
687,6462.198011884212
688,6522.304724982518
689,6581.534575285477
690,6639.650908946073
691,6695.97124030333
692,6749.92568290679
693,6801.230595580427
694,6849.55058258537
695,6894.401552614556
696,6935.465418759926
697,6972.794733527106
698,7006.710341335534
699,7037.572118176711
700,7065.528974816415
701,7090.4062159261175
702,7111.889930198856
703,7129.723478844575
704,7143.71898778305
705,7153.805373830987
706,7159.981825806201
707,7162.283236984802
708,7160.997586803067
709,7156.515958391281
710,7148.956857781149
711,7138.489683830352
712,7125.823699178874
713,7111.896816626598
