Tempo,Velocidade RPM
44.0,0.0
472.0,0.0
952.0,0.0
1444.0,0.0
1968.0,0.0
2504.0,0.0
3028.0,0.0
8544.0,271.94
22064.0,643.49
36624.0,1153.85
52228.0,1595.74
67824.0,1981.28
83424.0,2269.23
99024.0,2596.15
114632.0,2806.25
131264.0,2994.23
147904.0,3173.08
164544.0,3317.31
181192.0,3459.87
197824.0,3535.35
214464.0,3623.8
231104.0,3695.91
247748.0,3767.12
264384.0,3823.03
281024.0,3840.14
297668.0,3875.27
314312.0,3947.37
330944.0,3950.22
347584.0,3966.35
364232.0,3982.46
380864.0,4022.37
397512.0,3982.46
414144.0,4022.37
430784.0,4038.46
447424.0,4020.43
464072.0,4036.52
480704.0,4058.44
497344.0,4074.52
513984.0,4038.46
530632.0,4036.52
547264.0,4076.48
563912.0,4054.54
580544.0,4058.44
597192.0,4054.54
613832.0,4092.55
630472.0,4056.49
647112.0,4056.49
663748.0,4075.5
680384.0,4093.53
697032.0,4036.52
713664.0,4058.44
730312.0,4090.58
746952.0,4056.49
763592.0,4056.49
780224.0,4094.52
796864.0,4074.52
813512.0,4036.52
830152.0,4056.49
846792.0,4110.58
863432.0,4056.49
880072.0,4056.49
896712.0,4074.52
913352.0,4074.52
929984.0,4058.44
946624.0,4056.49
963268.0,4073.54
979904.0,4075.5
996552.0,4036.52
1013192.0,4056.49
1030872.0,4072.4
1048552.0,4038.46
1066224.0,4057.27
1083912.0,4070.56
1101592.0,4038.46
1119272.0,4038.46
1136944.0,4074.24
1154624.0,4038.46
1172312.0,4036.64
1189984.0,4057.27
1207664.0,4055.43
1225344.0,4021.49
1243032.0,4036.64
1260712.0,4072.4
1278384.0,4057.27
1296072.0,4036.64
1313744.0,4074.24
1331424.0,4072.4
1349112.0,4036.64
1366792.0,4055.43
1384468.0,4090.29
1402144.0,4039.38
1419828.0,4020.58
1437512.0,4071.48
1455184.0,4057.27
1472864.0,4038.46
1490548.0,4054.51
1508232.0,4071.48
