tensao
100.38
100.76
101.13
101.51
101.88
102.25
102.63
103.0
103.37
103.74
104.12
104.49
104.86
105.24
105.61
105.99
106.36
106.74
107.11
107.49
107.86
108.23
108.6
108.97
109.34
109.71
110.08
110.45
110.82
111.19
111.55
111.92
112.29
112.65
113.02
113.38
113.75
114.12
114.49
114.86
115.22
115.59
115.95
116.31
116.68
117.04
117.4
117.76
118.12
118.48
118.85
119.21
119.57
119.93
120.29
120.65
121.01
121.4
121.82
122.24
122.66
123.07
123.49
123.9
124.32
124.73
125.15
125.56
125.97
126.38
126.79
127.21
127.62
128.03
128.44
128.85
129.26
129.66
130.07
130.48
130.89
131.29
131.7
132.1
132.51
132.91
133.32
133.72
134.12
134.52
134.92
135.32
135.72
136.12
136.52
136.92
137.31
137.71
138.1
138.5
138.89
139.28
139.68
140.07
140.46
140.85
141.24
141.63
142.02
142.4
142.79
143.18
143.56
143.95
144.33
144.71
145.09
145.48
145.86
146.23
146.61
146.99
147.37
147.74
148.12
148.49
148.86
149.24
149.61
149.98
150.35
150.72
151.08
151.45
151.82
152.18
152.55
152.91
153.27
153.63
153.99
154.35
154.71
155.07
155.42
155.78
156.13
156.49
156.84
157.19
157.54
157.89
158.24
158.58
158.93
159.27
159.62
159.96
160.3
160.64
160.98
161.32
161.66
161.99
162.33
162.66
162.99
163.32
163.65
163.98
164.31
164.64
164.96
165.29
165.61
165.93
166.25
166.57
166.89
167.2
167.52
167.84
168.15
168.46
168.77
169.08
169.39
169.7
170.0
170.31
170.61
170.91
171.21
171.51
171.81
172.11
172.4
172.7
172.99
173.28
173.57
173.86
174.15
174.43
174.72
175.0
175.28
175.56
175.84
176.12
176.4
176.67
176.94
177.22
177.49
177.76
178.03
178.29
178.56
178.82
179.08
179.34
179.6
179.86
180.12
180.37
180.63
180.88
181.13
181.38
181.62
181.87
182.12
182.36
182.6
182.84
183.08
183.31
183.55
183.78
184.02
184.25
184.48
184.71
184.93
185.16
185.38
185.6
185.82
186.04
186.26
186.47
186.69
186.9
187.11
187.32
187.53
187.73
187.94
188.14
188.34
188.54
188.74
188.93
189.13
189.32
189.51
189.7
189.89
190.08
190.26
190.44
190.63
190.81
190.98
191.16
191.33
191.51
191.68
191.85
192.02
192.18
192.35
192.51
192.67
192.83
192.99
193.15
193.3
193.45
193.61
193.76
193.9
194.05
194.19
194.33
194.48
194.62
194.75
194.89
195.02
195.15
195.28
195.41
195.54
195.67
195.79
195.91
196.03
196.15
196.27
196.38
196.49
196.61
196.72
196.82
196.93
197.03
197.14
197.24
197.33
197.43
197.53
197.62
197.71
197.8
197.89
197.98
198.06
198.14
198.23
198.3
198.38
198.46
198.53
198.6
198.67
198.74
198.81
198.87
198.94
199.0
199.06
199.12
199.17
199.23
199.28
199.33
199.38
199.42
199.47
199.51
199.55
199.59
199.63
