rpm_controlado
1981.8
1977.9
1977.3
1968.3
1983.0
1969.5
1983.0
1975.2
1982.7
1990.5
1953.9
1987.8
1992.3
1976.4
1986.6
1983.0
1974.9
1978.8
1982.1
1970.7
1981.5
1981.2
1982.1
1994.4
1974.3
1968.6
1975.2
1968.9
1975.8
1953.3
1974.0
1980.0
1982.7
1993.2
1985.1
1977.0
1981.2
1981.2
1972.2
1979.1
1971.9
1965.9
