Unnamed: 0,amostras,amostra_ajustada
0,552.61569825331,1325.494376419995
1,637.6903761492417,1350.761180062216
2,724.3719804944732,1376.5052337636334
3,814.2762089477212,1403.2063925939067
4,908.6367552203684,1431.23105813728
5,1008.1315539530108,1460.780573988226
6,1113.0272046268333,1491.934119015344
7,1223.4348369980523,1524.7246982654774
8,1339.5430157241035,1559.208314609176
9,1461.3855148891828,1595.3949988002983
10,1588.6504105457273,1633.192110803886
11,1720.8664943244482,1672.459703815133
12,1857.3042361856376,1712.9811106338775
13,1996.7694124486395,1754.4016521007002
14,2137.857587343974,1796.3042169941045
15,2279.4005030293915,1838.3418378940119
16,2420.817193931781,1880.3419705907727
17,2562.240049049079,1922.3439340321404
18,2704.0394403376404,1964.4577270535756
19,2846.1156024766865,2006.6537197953749
20,2987.995166618244,2048.791323800104
21,3129.378837219607,2090.781649613279
22,3270.106200025624,2132.577054909515
23,3409.8353164829623,2174.0759854484863
24,3547.994240924947,2215.108575892922
25,3683.912163467313,2255.4755986695172
26,3817.058561515852,2295.019490910599
27,3947.359204360888,2333.7182064231984
28,4075.212285214726,2371.690006832935
29,4200.966530585437,2409.038462372716
30,4324.440015843259,2445.7095422308894
31,4444.97070777057,2481.506625465383
32,4561.794637179637,2516.202816601156
33,4674.366056253536,2549.6360309466245
34,4782.288796818771,2581.6886083037534
35,4885.077358023423,2612.216357063511
36,4982.161522511902,2641.04992518939
37,5073.104805444852,2668.059678611632
38,5157.878303020823,2693.2370330288477
39,5236.842296537025,2716.6889903952933
40,5310.377212739916,2738.528535774689
41,5378.7900210642,2758.846837733552
42,5442.57025324724,2777.789285036091
43,5502.344615365735,2795.5420066195275
44,5558.534582343461,2812.230178674975
45,5611.24496966553,2827.884930938643
46,5660.314969316023,2842.458504139937
47,5705.354066032189,2855.8349169703492
48,5745.938562712668,2867.888333261839
49,5781.722570010053,2878.5160254056846
50,5812.308652554255,2887.59995685206
51,5837.305778539724,2895.023992881527
52,5856.521642118931,2900.7310195065993
53,5870.001305382546,2904.73441996921
54,5878.136535004949,2907.1505472415943
55,5881.703964267867,2908.210057978784
56,5881.4294859991305,2908.1285391450747
57,5877.568550677231,2906.9818584045015
58,5870.0069956386005,2904.73610995013
59,5858.574974857065,2901.3408502622333
60,5843.303027651888,2896.80514938377
61,5824.569024608641,2891.241233209964
62,5803.005322949372,2884.8369090432516
63,5779.167632411604,2877.757220221643
64,5753.331815822746,2870.084096786657
65,5725.636525925785,2861.858717990667
66,5696.260467612373,2853.1341583973253
67,5665.53704199439,2844.009436664549
68,5634.037190321672,2834.6541198222417
69,5602.258926602799,2825.2161158317044
70,5570.159575398726,2815.682750275997
71,5537.302387955278,2805.9243107038274
72,5503.461451613321,2795.8737020530707
73,5468.867066485652,2785.599322440216
74,5433.861767696778,2775.202903284592
75,5398.487551306129,2764.6969172303952
76,5362.441945376311,2753.991531447946
77,5325.358444257821,2742.9778953778437
78,5287.077908511058,2731.6087453092923
79,5247.668078914966,2719.9041999544934
80,5207.442912821117,2707.957503260416
81,5166.937777851025,2695.927657046448
82,5126.5214623939255,2683.9241898356076
83,5086.125620660837,2671.926803230386
84,5045.393535978063,2659.829553953969
85,5003.964020249985,2647.525170736978
86,4961.798314403386,2635.002142305828
87,4919.254450172133,2622.366802504397
88,4876.891555562039,2609.785209881282
89,4835.310014622074,2597.435675847709
90,4794.879655585701,2585.4280377558416
91,4755.564375237069,2573.751573110005
92,4717.195754316735,2562.3562621338906
93,4679.762418693913,2551.2387267608838
94,4643.36668908912,2540.4293557931255
95,4608.24386595869,2529.998032427052
96,4574.848645239868,2520.079799348071
97,4543.548820735965,2510.7838896915746
98,4514.3367549827335,2502.108035164409
99,4487.0419377610815,2494.0015949844837
100,4461.704880123584,2486.4766007555145
101,4438.630245164191,2479.6235360710016
102,4418.003100966695,2473.497365334564
103,4399.797991221179,2468.090528134572
104,4384.370665768941,2463.5086806028876
105,4372.528903877856,2459.9917296148865
106,4364.785404916404,2457.6919446189086
107,4361.194846292978,2456.6255645637884
108,4361.686151946021,2456.771480173118
109,4365.952748950878,2458.0386406421135
110,4373.434374706395,2460.2606504523706
111,4383.639571158455,2463.291548732114
112,4396.396918579897,2467.0804245793724
113,4412.030137160213,2471.7234214608643
114,4431.121033716631,2477.3933334320272
115,4454.107805045937,2484.2203030064134
116,4481.396364636053,2492.324884697406
117,4513.363760291908,2501.819060038014
118,4550.012827956317,2512.703671290728
119,4591.005377759899,2524.8782775578015
120,4635.873244538979,2538.203835853057
121,4684.093223296717,2552.524956602926
122,4735.355996337122,2567.749773817657
123,4789.70376330622,2583.890820605764
124,4847.257319206729,2600.98397254962
125,4908.04511456084,2619.037679328677
126,4972.089278871532,2638.058513307594
127,5039.539913352361,2658.091053883946
128,5110.513636806528,2679.16993632729
129,5184.676703001896,2701.1960394805183
130,5261.362452999002,2723.971368582598
131,5340.083299692484,2747.3511124164415
132,5420.424205074217,2771.212006526457
