Tempo,Velocidade RPM,amostra_ajustada
4.4e-05,0.0,0.0
0.000472,0.0,0.0
0.0009519999999999999,0.0,0.0
0.001444,0.0,0.0
0.0019679999999999997,0.0,0.0
0.0025039999999999997,0.0,0.0
0.003028,0.0,0.0
0.008544,271.94,253.47983941605838
0.022064,643.49,599.8078321167883
0.036624,1153.85,1075.5229562043794
0.052228,1595.74,1487.4160437956205
0.067824,1981.28,1846.7843503649633
0.083424,2269.23,2115.1873795620436
0.099024,2596.15,2419.915
0.114632,2806.25,2615.752737226277
0.131264,2994.23,2790.9720510948905
0.14790399999999998,3173.08,2957.6811386861314
0.164544,3317.31,3092.1203430656933
0.181192,3459.87,3225.0029124087587
0.197824,3535.35,3295.3590875912405
0.214464,3623.8,3377.804817518248
0.23110399999999998,3695.91,3445.019759124087
0.247748,3767.12,3511.3957956204376
0.264384,3823.03,3563.5104452554747
0.281024,3840.14,3579.4589635036496
0.297668,3875.27,3612.204226277372
0.314312,3947.37,3679.409846715328
0.33094399999999996,3950.22,3682.0663795620435
0.347584,3966.35,3697.101423357664
0.364232,3982.46,3712.1178248175183
0.380864,4022.37,3749.318605839416
0.397512,3982.46,3712.1178248175183
0.41414399999999996,4022.37,3749.318605839416
0.430784,4038.46,3764.3163649635035
0.447424,4020.43,3747.5102992700727
0.464072,4036.52,3762.5080583941603
0.48070399999999996,4058.44,3782.9400583941606
0.49734399999999995,4074.52,3797.9284963503646
0.513984,4038.46,3764.3163649635035
0.530632,4036.52,3762.5080583941603
0.547264,4076.48,3799.755445255474
0.563912,4054.54,3779.304802919708
0.580544,4058.44,3782.9400583941606
0.597192,4054.54,3779.304802919708
0.6138319999999999,4092.55,3814.7345620437954
0.6304719999999999,4056.49,3781.122430656934
0.647112,4056.49,3781.122430656934
0.663748,4075.5,3798.8419708029196
0.680384,4093.53,3815.6480364963504
0.697032,4036.52,3762.5080583941603
0.713664,4058.44,3782.9400583941606
0.730312,4090.58,3812.898291970803
0.746952,4056.49,3781.122430656934
0.7635919999999999,4056.49,3781.122430656934
0.7802239999999999,4094.52,3816.570832116788
0.796864,4074.52,3797.9284963503646
0.813512,4036.52,3762.5080583941603
0.830152,4056.49,3781.122430656934
0.846792,4110.58,3831.5406277372263
0.863432,4056.49,3781.122430656934
0.880072,4056.49,3781.122430656934
0.896712,4074.52,3797.9284963503646
0.9133519999999999,4074.52,3797.9284963503646
0.9299839999999999,4058.44,3782.9400583941606
0.9466239999999999,4056.49,3781.122430656934
0.9632679999999999,4073.54,3797.01502189781
0.979904,4075.5,3798.8419708029196
0.996552,4036.52,3762.5080583941603
1.0131919999999999,4056.49,3781.122430656934
1.030872,4072.4,3795.952408759124
1.048552,4038.46,3764.3163649635035
1.066224,4057.27,3781.8494817518244
1.083912,4070.56,3794.237313868613
1.101592,4038.46,3764.3163649635035
1.119272,4038.46,3764.3163649635035
1.136944,4074.24,3797.6675036496345
1.1546239999999999,4038.46,3764.3163649635035
1.172312,4036.64,3762.619912408759
1.189984,4057.27,3781.8494817518244
1.2076639999999998,4055.43,3780.1343868613135
1.225344,4021.49,3748.498343065693
1.243032,4036.64,3762.619912408759
1.2607119999999998,4072.4,3795.952408759124
1.278384,4057.27,3781.8494817518244
1.296072,4036.64,3762.619912408759
1.313744,4074.24,3797.6675036496345
1.331424,4072.4,3795.952408759124
1.3491119999999999,4036.64,3762.619912408759
1.366792,4055.43,3780.1343868613135
1.384468,4090.29,3812.6279781021894
1.4021439999999998,4039.38,3765.173912408759
1.4198279999999999,4020.58,3747.650116788321
1.437512,4071.48,3795.0948613138685
1.455184,4057.27,3781.8494817518244
1.472864,4038.46,3764.3163649635035
1.490548,4054.51,3779.2768394160585
1.508232,4071.48,3795.0948613138685
1.525904,4057.27,3781.8494817518244
1.5435839999999998,4072.4,3795.952408759124
1.561264,4089.37,3811.770430656934
1.578944,4055.43,3780.1343868613135
1.5966239999999998,4055.43,3780.1343868613135
1.6143079999999999,4088.44,3810.9035620437953
1.6319839999999999,4039.38,3765.173912408759
1.649672,4070.56,3794.237313868613
1.667344,4074.24,3797.6675036496345
1.6850319999999999,4070.56,3794.237313868613
1.702712,4038.46,3764.3163649635035
1.720388,4073.32,3796.8099562043794
1.7380719999999998,4071.48,3795.0948613138685
1.755752,4055.43,3780.1343868613135
1.773424,4057.27,3781.8494817518244
1.791104,4089.37,3811.770430656934
1.808784,4055.43,3780.1343868613135
1.8264639999999999,4055.43,3780.1343868613135
1.844144,4072.4,3795.952408759124
1.8618279999999998,4054.51,3779.2768394160585
1.8795039999999998,4056.35,3780.991934306569
1.897184,4038.46,3764.3163649635035
1.914864,4089.37,3811.770430656934
1.9325519999999998,4036.64,3762.619912408759
1.950224,4057.27,3781.8494817518244
1.9679119999999999,4070.56,3794.237313868613
1.9855919999999998,4055.43,3780.1343868613135
2.0032639999999997,4057.27,3781.8494817518244
2.020952,4053.6,3778.4286131386857
2.0386319999999998,4072.4,3795.952408759124
2.056304,4057.27,3781.8494817518244
2.073984,4055.43,3780.1343868613135
2.0916639999999997,4072.4,3795.952408759124
2.109352,4036.64,3762.619912408759
2.127024,4057.27,3781.8494817518244
2.1447119999999997,4070.56,3794.237313868613
2.162392,4055.43,3780.1343868613135
2.180072,4055.43,3780.1343868613135
2.1977439999999997,4057.27,3781.8494817518244
2.215432,4053.6,3778.4286131386857
2.2331119999999998,4038.46,3764.3163649635035
2.2507919999999997,4055.43,3780.1343868613135
2.268464,4074.24,3797.6675036496345
2.2861439999999997,4055.43,3780.1343868613135
2.303824,4038.46,3764.3163649635035
2.321504,4072.4,3795.952408759124
2.339184,4055.43,3780.1343868613135
2.356864,4055.43,3780.1343868613135
2.374548,4054.51,3779.2768394160585
2.392232,4088.44,3810.9035620437953
2.409912,4055.43,3780.1343868613135
2.4275919999999998,4055.43,3780.1343868613135
2.4452719999999997,4089.37,3811.770430656934
2.462948,4056.35,3780.991934306569
2.4806239999999997,4073.32,3796.8099562043794
2.498304,4089.37,3811.770430656934
2.5159879999999997,4071.48,3795.0948613138685
2.533664,4056.35,3780.991934306569
2.551344,4072.4,3795.952408759124
2.569032,4070.56,3794.237313868613
2.586712,4021.49,3748.498343065693
2.604384,4057.27,3781.8494817518244
2.622064,4072.4,3795.952408759124
